アンケート回答日,居住都道府県,性別,年代,職業,世帯年収,同行者,宿泊数（全行程）,宿泊エリア（県外）,宿泊数（県内）,宿泊市町村(1泊目),食事の組み合わせ（1泊目）,宿泊市町村(2泊目),食事の組み合わせ（2泊目）,宿泊市町村(3泊目),食事の組み合わせ（3泊目）,宿泊市町村(4泊目),食事の組み合わせ（4泊目）,交通手段（来県）,交通手段（県内）,満足度（交通）,来県回数,訪問目的,情報源（デジタル）,情報源（デジタル以外）,比較した都道府県の有無,比較した都道府県,比較した都道府県の観光地,消費金額（交通費）,消費金額（飲食費）,消費金額（宿泊費）,消費金額（買い物（工芸品・特産品等）費）,消費金額（観光・体験費）,訪問場所,訪問した寿司店形態,訪問したます寿し店形態,海の幸（食べた）,海の幸（感動した）,満足度（食べ物・料理）,満足度（宿泊施設）,満足度（買い物（工芸品・特産品など））,満足度（観光・体験）,満足度（旅行全体）,満足度理由,不便に感じたこと・困ったこと,最も幸せを感じた食べ物,最も幸せを感じた観光・体験,おすすめ度,再訪意向,自由意見,回答場所
2026/4/6,富山県,男性,50代,自営業,3:600～1000万円,カップル,1泊,富山県以外には宿泊しない,1泊,南砺市,,,,,,,,自家用車,自家用車,公共交通を利用していない,１０回目以上,"宿でのんびり過ごす, 地元の美味しいものを食べる","SNS広告, ","口コミ（友人・恋人）, 口コミ（家族）",ない,,,"1,000円以上3,000円未満","20,000円以上30,000円未満","20,000円以上30,000円未満","5,000円以上10,000円未満","20,000円以上30,000円未満",道の駅メルヘンおやべ,食べていない,食べていない,食べていない,食べていない,満足,満足,不満,満足,満足,,,,,3,来年もまた行きたい,,南砺市
2026/4/6,福井県,男性,70代,自営業,2:300～500万円,ひとり,2泊,長野県,1泊,氷見市,,,,,,,,自家用車,自家用車,公共交通を利用していない,７回目,"宿でのんびり過ごす, 地元の美味しいものを食べる, ドライブ・ツーリング",宿泊予約Webサイト,webサイト口コミ,ある,"新潟県, 石川県, 岐阜県",糸魚川市,"1,000円以上3,000円未満","1,000円未満","10,000円以上20,000円未満",使わない,使わない,"五箇山, 氷見温泉郷",食べていない,食べていない,"ブリ, シロエビ, ホタルイカ",ブリ,満足,満足,普通,普通,満足,宿泊施設が良かったです。,特になし。,特になし。,特になし。,2,機会があれば行きたい,海産物,射水市
2026/4/6,富山県,女性,50代,パート・アルバイト,6:無回答,カップル,1泊,沖縄,3泊,"富山市, 黒部市, 砺波市",,,,,,,,"自家用車, レンタカー","自家用車, 旅行会社ツアーバス",満足,３回目,"宿でのんびり過ごす, 温泉や露天風呂",YOUTUBE,口コミ（同僚・同級生）,ない,,,"20,000円以上30,000円未満","3,000円以上5,000円未満","20,000円以上30,000円未満","3,000円以上5,000円未満","1,000円以上3,000円未満","富山県中央植物園, 富山県美術館, 富山市ガラス美術館, 富山市ファミリーパーク, 富岩運河環水公園, 道の駅KOKOくろべ",回転寿司店（地元）,回転寿司店（地元）,"紅ズワイガニ, ホタルイカ, バイガイ",紅ズワイガニ,満足,満足,満足,満足,満足,美味しい物が食べれる,サウナがない,蟹,桜が見れる公園,2,富山県在住,なし,南砺市
2026/4/6,愛知県,女性,20代,会社員,2:300～500万円,友人・知人,1泊,富山県以外には宿泊しない,1泊,滑川市,,,,,,,,"新幹線, 在来線","在来線・私鉄・路面電車, 徒歩",満足,３回目,お祭りやイベントへの参加・見物,"Instagram, 富山県観光公式サイト「とやま観光ナビ」, 宿泊施設のウェブサイト",口コミ（友人・恋人）,ない,,,"20,000円以上30,000円未満","5,000円以上10,000円未満","20,000円以上30,000円未満","1,000円以上3,000円未満","5,000円以上10,000円未満",ほたるいかミュージアム,食べていない,食べていない,"甘エビ, ホタルイカ",ホタルイカ,満足,満足,満足,大いに満足,大いに満足,昨年もホタルイカ漁観光に参加しましたが、あいにく天候が悪く途中欠航となりました。今回1年ぶりに再度参加し、天候も問題なく見たかったホタルイカ漁が見学できました。館長はじめ、スタッフの皆さんのご説明も勉強になり、漁師の方々もお仕事中でも光っているホタルイカを見やすく持ち上げてくださり感動しました。,,ホタルイカ,ホタルイカ漁観光,6,機会があれば行きたい,交通手段が公共交通機関のため、駅周辺を観光しました。滑川のホタルイカ見学参加が目的だったので、他周辺の観光や交通情報があれば観光しやすいかと思いました。(滑川駅、ホテル、海は近くて徒歩でも楽でしたが、車でないため有名な黒部ダムは少し遠く金沢を先に観光、帰りに富山駅を観光しました。),滑川市
2026/4/6,富山県,男性,10代,学生,6:無回答,大人の家族（18歳以上の子供含む）,2泊,愛知県,1泊,富山市,,,,,,,,富山県民や！,"自家用車, 在来線・私鉄・路面電車",大いに満足,８回目,"宿でのんびり過ごす, 温泉や露天風呂, 工場の見学・体験, 文化施設の見学・体験（美術館・博物館など）, 買い物（アウトレットなど）, 趣味を満喫、推し活（好きなアイドル・アニメなどを）応援する, 自己成長のために、新しいこと・初めてのことを体験する, スキルアップや視野を広げるための研修・セミナーに参加する","TikTok, Googleマップ（施設の口コミ・写真・営業時間など）, 富山県観光公式サイト「とやま観光ナビ」, 富山県内市町村の観光公式サイト, 宿泊施設のウェブサイト","口コミ（友人・恋人）, 口コミ（家族）, 観光展・物産展, テレビ番組, 旅行ガイドブック",ある,"石川県, 福井県, 山梨県, 長野県, 岐阜県, 愛知県, 滋賀県",県庁所在地の駅前の様子などです。,"5,000円以上10,000円未満","5,000円以上10,000円未満","5,000円以上10,000円未満","1,000円以上3,000円未満","1,000円以上3,000円未満","井波エリア（井波別院瑞泉寺・八日町通りなど）, 五箇山, 高岡大仏, 富山市ファミリーパーク, 富岩運河環水公園, 道の駅メルヘンおやべ",居酒屋・レストラン（地元）,駅（売店・自販機など）,"ブリ, シロエビ, 甘エビ, ホタルイカ","ブリ, シロエビ, 甘エビ, ホタルイカ",大いに満足,満足,大いに満足,大いに満足,満足,観光に特化しておらず、観光地といったのも少ないからですね。,,白エビ,,3,機会があれば行きたい,子供から老人まで、いろんな方達が楽しめるようなお土産を用意して、もっといろんな場所に、何か体験できるところを作ったらいいと思います。,南砺市
2026/4/6,兵庫県,男性,50代,会社員,4:1000～2000万円,ひとり,2泊,石川県,1泊,富山市,,,,,,,,"新幹線, 在来線",レンタカー,普通,５回目,"地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, まちあるき、都市散策各種体験（手作り、果物狩りなど）","富山県観光公式サイト「とやま観光ナビ」, 富山県内市町村の観光公式サイト, 宿泊施設のウェブサイト","観光展・物産展, 富山県観光公式のパンフレット",ない,,,"10,000円以上20,000円未満","5,000円以上10,000円未満","5,000円以上10,000円未満","1,000円以上3,000円未満","1,000円以上3,000円未満","雨晴海岸, 岩瀬エリア, 海王丸パーク",回転寿司店（地元）,食べていない,"ブリ, シロエビ, ホタルイカ","ブリ, シロエビ, ホタルイカ",満足,普通,普通,普通,普通,,公共交通の便が少ない,,,5,機会があれば行きたい,,富山市
2026/4/6,富山県,女性,60代,パート・アルバイト,2:300～500万円,友人・知人,日帰り,,,,,,,,,,,県外から訪れていない（富山県在住）,自家用車,満足,８回目,"花見や紅葉などの自然鑑賞, 名所、旧跡、寺社仏閣の観光, 文化施設の見学・体験（美術館・博物館など）","富山県観光公式サイト「とやま観光ナビ」, 富山県内市町村の観光公式サイト","口コミ（友人・恋人）, 富山県観光公式のパンフレット, テレビ・ラジオ",ない,,,"20,000円以上30,000円未満","5,000円以上10,000円未満","10,000円以上20,000円未満","10,000円以上20,000円未満","30,000円以上40,000円未満",氷見漁港場外市場 ひみ番屋街,回転寿司店（地元）,食べていない,"シロエビ, ホタルイカ, ウマヅラハギ, バイガイ","ウマヅラハギ, バイガイ",大いに満足,普通,満足,普通,満足,関わった人々がカンジがいい,,ホタルイカ,,10,機会があれば行きたい,,南砺市
2026/4/6,新潟県,女性,40代,会社員,3:600～1000万円,大人の家族（18歳以上の子供含む）,1泊,富山県以外には宿泊しない,1泊,魚津市,,,,,,,,自家用車,"自家用車, 徒歩",大いに満足,１０回目以上,"温泉や露天風呂, 地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, ドライブ・ツーリング","Instagram, YOUTUBE, Googleマップ（施設の口コミ・写真・営業時間など）, 富山県観光公式サイト「とやま観光ナビ」, 富山県内市町村の観光公式サイト, デジタルニュース",口コミ（友人・恋人）,ない,,,"10,000円以上20,000円未満","5,000円以上10,000円未満","20,000円以上30,000円未満","5,000円以上10,000円未満","1,000円以上3,000円未満","あさひ舟川「春の四重奏」, 富山城, 松川遊覧船, 道の駅KOKOくろべ",持ち帰り（道の駅・スーパーなど）,持ち帰り（道の駅・スーパーなど）,"ブリ, シロエビ",ブリ,大いに満足,大いに満足,満足,満足,満足,桜の開花に合わせて滞在し、大満足です,,昆布おにぎりが大好物で、変わらず美味しかったです！,松川沿いの夜桜,10,来年もまた行きたい,季節ごとの景色や食を期待しています,富山市
2026/4/6,石川県,女性,50代,専業主婦・主夫,2:300～500万円,夫婦,1泊,富山県以外には宿泊しない,1泊,富山市,,,,,,,,自家用車,自家用車,公共交通を利用していない,１０回目以上,花見や紅葉などの自然鑑賞,富山県観光公式サイト「とやま観光ナビ」,新聞特集記事,ない,,,"3,000円以上5,000円未満","3,000円以上5,000円未満","10,000円以上20,000円未満","3,000円以上5,000円未満","3,000円以上5,000円未満","富山県中央植物園, 富山城, 松川遊覧船",食べていない,持ち帰り（道の駅・スーパーなど）,食べていない,食べていない,満足,満足,満足,満足,満足,青空に満開の桜に本当に感動しました。お花見を満喫できました。,駐車場ですね。,好きなハンバーガーを食べた事,満開の桜,10,来年もまた行きたい,やはり自然の素晴らしが富山県の魅力ですね。,富山市
2026/4/6,石川県,女性,60代,公務員,2:300～500万円,夫婦,日帰り,,,,,,,,,,,自家用車,自家用車,満足,１０回目以上,名所、旧跡、寺社仏閣の観光,"Googleマップ（施設の口コミ・写真・営業時間など）, 富山県観光公式サイト「とやま観光ナビ」",テレビ・ラジオ,ある,福井県,三国,"1,000円未満","1,000円以上3,000円未満",使わない,"1,000円未満","1,000円未満","岩瀬エリア, 海王丸パーク, 新湊きっときと市場",食べていない,持ち帰り（道の駅・スーパーなど）,バイガイ,バイガイ,満足,普通,普通,普通,満足,"岩瀬地区が初めてだったこと
海洋丸の帆がとじていたこと",岩瀬地区のお店で閉まっているところがあったこと,ますの寿司,散歩,9,来年もまた行きたい,環水公園あたりの駐車場が少ないので毎回、不便に感じます。,富山市
2026/4/6,長野県,女性,50代,パート・アルバイト,2:300～500万円,夫婦,1泊,富山県以外には宿泊しない,1泊,射水市,,,,,,,,自家用車,自家用車,不満,４回目,"花見や紅葉などの自然鑑賞, 買い物（アウトレットなど）",富山県観光公式サイト「とやま観光ナビ」,富山県観光公式のパンフレット,ある,静岡県,花見など,"5,000円以上10,000円未満","20,000円以上30,000円未満","20,000円以上30,000円未満","30,000円以上40,000円未満","20,000円以上30,000円未満","高岡大仏, 砺波チューリップ公園, 氷見漁港場外市場 ひみ番屋街",持ち帰り（道の駅・スーパーなど）,持ち帰り（道の駅・スーパーなど）,"甘エビ, ホタルイカ","甘エビ, ホタルイカ",満足,満足,満足,満足,満足,観光も食べる物も満足です。,,ホタルイカ,高岡大仏,8,来年もまた行きたい,,射水市
2026/4/6,富山県,女性,40代,会社員,2:300～500万円,子供連れ家族（一番下のお子様が小学生～高校生）,日帰り,,,,,,,,,,,県外から訪れていない（富山県在住）,"在来線・私鉄・路面電車, 路線バス",満足,１０回目以上,名所、旧跡、寺社仏閣の観光,Googleマップ（施設の口コミ・写真・営業時間など）,新聞特集記事,ない,,,"1,000円以上3,000円未満","1,000円以上3,000円未満",使わない,"1,000円未満","1,000円未満",雨晴海岸,食べていない,食べていない,食べていない,食べていない,普通,普通,普通,普通,普通,,富山駅の観光案内所が金沢や福井と比べて閉鎖的でだめ。アクリル板で囲われているし暗い場所で印象が悪い。福井はパンフレットとかたくさん置いてあり良かった。,,,2,来年もまた行きたい,人が増えないでほしい。,高岡市
2026/4/6,神奈川県,女性,40代,医療機関職員,2:300～500万円,夫婦,2泊,富山県以外には宿泊しない,2泊,富山市,,,,,,,,自家用車,"自家用車, 在来線・私鉄・路面電車",大いに満足,１回目,"地元の美味しいものを食べる, 名所、旧跡、寺社仏閣の観光, 買い物（工芸品・特産品など）, アウトドア（海水浴、釣り、登山など）","YOUTUBE, Googleマップ（施設の口コミ・写真・営業時間など）",口コミ（家族）,ある,新潟県,魚沼市　新潟市,"1,000円未満","50,000円以上100,000円未満","10,000円以上20,000円未満","50,000円以上100,000円未満","10,000円以上20,000円未満","雨晴海岸, 岩瀬エリア, 高岡大仏",回転寿司店（地元）,駅（売店・自販機など）,"ブリ, フクラギ（イナダ、ハマチ）, 紅ズワイガニ, シロエビ, 甘エビ, ホタルイカ, ウマヅラハギ, ゲンゲ","ブリ, フクラギ（イナダ、ハマチ）, 紅ズワイガニ, シロエビ, 甘エビ, ホタルイカ, ウマヅラハギ, ゲンゲ",大いに満足,普通,大いに満足,大いに満足,大いに満足,富山県の県民性　お刺身の美味しさ　立山連峰の美しさ,,ホタルイカ　お刺身　お寿司,雨晴海岸から見る景色,10,来年もまた行きたい,,富山市
2026/4/6,東京都,男性,50代,会社員,4:1000～2000万円,夫婦,2泊,富山県以外には宿泊しない,2泊,"富山市, 高岡市",,,,,,,,"新幹線, 在来線","在来線・私鉄・路面電車, 徒歩",大いに満足,１０回目以上,"温泉や露天風呂, 地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, お祭りやイベントへの参加・見物, まちあるき、都市散策各種体験（手作り、果物狩りなど）","富山県観光公式サイト「とやま観光ナビ」, 宿泊予約Webサイト",テレビ番組,ある,石川県,金沢市,"10,000円以上20,000円未満","30,000円以上40,000円未満","10,000円以上20,000円未満","20,000円以上30,000円未満","3,000円以上5,000円未満","岩瀬エリア, 高岡大仏, 富山城, 富岩運河環水公園, 松川遊覧船",居酒屋・レストラン（地元）,居酒屋・レストラン（地元）,"フクラギ（イナダ、ハマチ）, 紅ズワイガニ, シロエビ, 甘エビ, ホタルイカ, バイガイ","シロエビ, ホタルイカ, バイガイ",大いに満足,大いに満足,大いに満足,大いに満足,大いに満足,旬の海産物を新鮮な状態で食べられたから、また、桜がちょうど満開で綺麗だったから。,強風のため、あいの風とやま鉄道が運休となったこと。,白エビ,松川べりの花見遊覧船,10,富山県在住,活ホタルイカのしゃぶしゃぶが食べられる店を増やしてほしいです。,富山市
2026/4/6,神奈川県,男性,50代,会社員,2:300～500万円,夫婦,2泊,富山県以外には宿泊しない,2泊,富山市,,,,,,,,自家用車,"自家用車, 在来線・私鉄・路面電車",大いに満足,１回目,"地元の美味しいものを食べる, 名所、旧跡、寺社仏閣の観光, 文化施設の見学・体験（美術館・博物館など）, 買い物（工芸品・特産品など）, アウトドア（海水浴、釣り、登山など）, まちあるき、都市散策各種体験（手作り、果物狩りなど）, ドライブ・ツーリング, 地域の人と交流し、生活文化を体験する, 移住先や二拠点居住を視察する, 健康を増進する, 自己成長のために、新しいこと・初めてのことを体験する","X（旧Twitter）, YOUTUBE","口コミ（友人・恋人）, youtube",ある,新潟県,南魚沼,"5,000円以上10,000円未満","30,000円以上40,000円未満","10,000円以上20,000円未満","5,000円以上10,000円未満","3,000円以上5,000円未満","雨晴海岸, 岩瀬エリア, 大岩山日石寺, 金屋町 千本格子の家並み, 高岡大仏, 富山市ガラス美術館, 富山城, 氷見漁港場外市場 ひみ番屋街, ほたるいかミュージアム, 藤子不二雄、光禅寺、ダイワ、日枝神社",専門店,専門店,"ブリ, フクラギ（イナダ、ハマチ）, 紅ズワイガニ, シロエビ, 甘エビ, ホタルイカ, ウマヅラハギ, ゲンゲ, バイガイ","ブリ, フクラギ（イナダ、ハマチ）, 紅ズワイガニ, シロエビ, 甘エビ, ホタルイカ, ウマヅラハギ, ゲンゲ, バイガイ",大いに満足,満足,大いに満足,大いに満足,大いに満足,路面電車、人の優しさ、町の綺麗さ、食べ物の美味しさ、水の良さ、文化、歴史、海が綺麗、全てがちょうど良い,不便さは感じなかった,刺身,富山市内の路面電車と町を見守る立山連峰,10,機会があれば行きたい,"今回、全てが想像を遥かに超えていて、ただただ感動しました。
定年後、本気で移住を検討しております。",富山市
2026/4/6,大阪府,女性,30代,会社員,2:300～500万円,友人・知人,1泊,富山県以外には宿泊しない,1泊,滑川市,,,,,,,,自家用車,自家用車,満足,１回目,"地元の美味しいものを食べる, クルーズ・観光船を楽しむ","富山県観光公式サイト「とやま観光ナビ」, 宿泊施設のウェブサイト",口コミ（友人・恋人）,ない,,,"10,000円以上20,000円未満","10,000円以上20,000円未満","10,000円以上20,000円未満","5,000円以上10,000円未満","5,000円以上10,000円未満","魚津水族館, 富山市ガラス美術館, 氷見漁港場外市場 ひみ番屋街, 富岩運河環水公園, ほたるいかミュージアム",専門店,食べていない,"ブリ, シロエビ, ホタルイカ",ホタルイカ,大いに満足,満足,満足,満足,満足,,,,,8,機会があれば行きたい,,滑川市
2026/4/6,愛知県,女性,60代,定年退職,2:300～500万円,ひとり,1泊,富山県以外には宿泊しない,1泊,富山市,,,,,,,,自家用車,"自家用車, 在来線・私鉄・路面電車",満足,５回目,"地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞","Facebook, 富山県観光公式サイト「とやま観光ナビ」, 富山県内市町村の観光公式サイト, 宿泊施設のウェブサイト, SNS広告",富山県観光公式のパンフレット,ない,,,"5,000円以上10,000円未満","5,000円以上10,000円未満","5,000円以上10,000円未満","3,000円以上5,000円未満","1,000円以上3,000円未満","あさひ舟川「春の四重奏」, ",回転寿司店（チェーン店）,食べていない,"フクラギ（イナダ、ハマチ）, 紅ズワイガニ, シロエビ",シロエビ,大いに満足,満足,満足,満足,満足,富山は食べ物が美味しいし、自然も素晴らしい。今回は花見。夏山シーズンには立山や薬師岳に登りました。,特に困りませんでした,富山湾すし,舟川べりのお花見,10,来年もまた行きたい,"愛知から自家用車で3〜4時間かかります。なので、登山の時は前乗りすることが多く、ビジネスホテルなど素泊まりでリーズナブルな宿泊施設を利用します。
富山大好きです。",富山市
2026/4/6,岐阜県,女性,40代,会社員,6:無回答,その他,1泊,富山県以外には宿泊しない,1泊,高岡市,,,,,,,,自家用車,自家用車,大いに満足,１０回目以上,"宿でのんびり過ごす, 地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, 文化施設の見学・体験（美術館・博物館など）","富山県観光公式サイト「とやま観光ナビ」, 宿泊施設のウェブサイト, 宿泊予約Webサイト","口コミ（友人・恋人）, 口コミ（同僚・同級生）",ない,,,"1,000円未満","1,000円以上3,000円未満","10,000円以上20,000円未満","3,000円以上5,000円未満","1,000円未満","雨晴海岸, 砺波チューリップ公園, 富山県中央植物園, 氷見漁港場外市場 ひみ番屋街",持ち帰り（道の駅・スーパーなど）,持ち帰り（道の駅・スーパーなど）,"ブリ, 甘エビ, ホタルイカ","ブリ, 甘エビ, ホタルイカ",大いに満足,大いに満足,満足,大いに満足,大いに満足,後期高齢者の母とその友人を連れての旅行でしたが、自宅から雨晴は遠すぎず近すぎずの距離で後期高齢者も負担なく旅行気分を味わえ、海の幸もたいへん美味しく、宿のおもてなしも最高でした。また観光においては桜やチューリップを楽しむことができ、訪れた時季も良かったとたいへん満足しています。,美味しい海産物をお土産に買って帰りたいが、まだ観光をしてから自宅に帰るため、生物の購入を諦めました。自宅まで発送していただけるサービスはあったのですが、自家用車で来ていたため割高に感じてしまい利用しませんでした。自分で、しっかり保冷出来るクーラーボックスを持参すれば良いことなのかもしれませんが、例えば観光して帰る道中、どこか最寄りの場所で受け取りできたらありがたいです。,お刺身です。舟盛りのついた宿泊プランにしたのですが、宿泊代がリーズナブルだったにもかかわらず、予想以上の量、質で大満足でした。,富山県中央植物園での桜の種類に圧倒されました。高齢者は無料で申し訳ないくらいでした。,10,来年もまた行きたい,近隣の県のため自家用車を利用しますが、駐車場代がかかる施設や食事場所は、つい敬遠してしまいます。,氷見市
2026/4/6,北海道,女性,60代,専業主婦・主夫,2:300～500万円,夫婦,2泊,富山県以外には宿泊しない,2泊,富山市,,,,,,,,飛行機,旅行会社ツアーバス,大いに満足,１回目,文化施設の見学・体験（美術館・博物館など）,"Googleマップ（施設の口コミ・写真・営業時間など）, 富山県観光公式サイト「とやま観光ナビ」","雑誌の特集記事, 旅行会社のパンフレット",ない,,,"40,000円以上50,000円未満","10,000円以上20,000円未満","10,000円以上20,000円未満",使わない,"3,000円以上5,000円未満","富山市ガラス美術館, 富岩運河環水公園, 八尾エリア（八尾おわら資料館、八尾曳山会館など）",居酒屋・レストラン（地元）,居酒屋・レストラン（チェーン店）,"ブリ, シロエビ, ホタルイカ",どれにも感動していない,満足,満足,普通,満足,満足,桜の時期に天気にも恵まれたから,イオン系のお店がない,刺身,白川郷,8,機会があれば行きたい,"今回宿泊先は富山市でしたが金沢や白川郷、飛騨高山を巡る旅でした。富山の運河クルーズやガラス美術館素晴らしかったのですが富山だけだと物足りないかもしれないです。
越中八尾はお店が開いてなく寂しかったです。散策していた私達に地元の高齢の女性がどこから来たのと声かけてきたので「北海道からです」と答えたら「へぇ〜北海道から」と呆れたようなバカにされたような言い方されました。
ここは観光地なのかなと妙な気持ちになりました。旅行会社のアンケートにも他の観光地はよかったけど越中八尾は今後のコースに入れないほうがいいと答えました。
",富山市
2026/4/6,大阪府,女性,30代,自営業,2:300～500万円,友人・知人,1泊,富山県以外には宿泊しない,1泊,富山市,,,,,,,,"新幹線, 在来線","在来線・私鉄・路面電車, 路線バス",大いに満足,１回目,"地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, 名所、旧跡、寺社仏閣の観光","Instagram, 富山県内市町村の観光公式サイト, dマガジンのるるぶ、まっぷる",口コミ（同僚・同級生）,ない,,,"3,000円以上5,000円未満","10,000円以上20,000円未満","5,000円以上10,000円未満","3,000円以上5,000円未満","1,000円以上3,000円未満","あさひ舟川「春の四重奏」, 雨晴海岸, 富山城, 氷見漁港場外市場 ひみ番屋街",回転寿司店（地元）,持ち帰り（道の駅・スーパーなど）,"ブリ, 紅ズワイガニ, シロエビ, 甘エビ, ホタルイカ","紅ズワイガニ, シロエビ, ホタルイカ",大いに満足,大いに満足,大いに満足,大いに満足,大いに満足,美味しい海鮮食べたいね。位の乗りできたのですが、想像以上にどのお料理も美味しい!!ホタルイカは今まで食べていたものとは全然違って臭みがなくて、他の海鮮やお米もおいしかったです。富山駅から大体の観光地に電車で1時間くらいでいけて、どこにいても立山連峰が見えて、景色もよく本当にいい旅行になりました。石川いくなら富山に来た方が絶対いいと思います‼️（石川がブランド化されているので比較です笑）,交通の便もよく、特に不便はなかったです。,ホタルイカの黒つけ？めちゃくちゃおいしかったです！,氷見の番やがい、あさひ舟山の四重奏,10,来年もまた行きたい,ホテルもそんなに高くなくて、富山駅周辺にまとまっていて、お土産も沢山あり大満足です。今回は日にちが合わず立山アルペンルートにいけず悔しかったので、また来ます。あと、道の駅に1日目に行ってしまい、ホタルイカの沖漬けは帰る日に買わないと知り、欲しいのが買えなかったので、次回は2日目にいきます‼️,氷見市
2026/4/6,北海道,男性,60代,公務員,3:600～1000万円,夫婦,4泊以上,石川県,1泊,富山市,,,,,,,,飛行機,"レンタカー, 在来線・私鉄・路面電車",満足,２回目,"地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞","Googleマップ（施設の口コミ・写真・営業時間など）, 富山県観光公式サイト「とやま観光ナビ」, 富山県内市町村の観光公式サイト",旅行ガイドブック,ない,,,"30,000円以上40,000円未満","20,000円以上30,000円未満","10,000円以上20,000円未満","10,000円以上20,000円未満","5,000円以上10,000円未満","雨晴海岸, 内川エリア（川の駅新湊など）, 新湊大橋, 新湊きっときと市場, 富岩運河環水公園, 松川遊覧船",食べていない,専門店,"ブリ, フクラギ（イナダ、ハマチ）, シロエビ, 甘エビ, ホタルイカ",ホタルイカ,大いに満足,満足,満足,満足,満足,味　桜　好天　ホタルイカ　環水公園　路面電車割引券(ホテルでいただきました),特にない,ほたるいか,環水公園ライトアップ,10,機会があれば行きたい,,富山市
2026/4/6,大阪府,女性,40代,会社員,3:600～1000万円,大人の家族（18歳以上の子供含む）,1泊,富山県以外には宿泊しない,1泊,砺波市,,,,,,,,自家用車,自家用車,公共交通を利用していない,１回目,友人・親戚を訪ねる,宿泊施設のウェブサイト,デジタル以外なし,ない,,,"20,000円以上30,000円未満","5,000円以上10,000円未満","50,000円以上100,000円未満","10,000円以上20,000円未満","5,000円以上10,000円未満","道の駅メルヘンおやべ, 三井アウトレットパーク北陸小矢部, 道の駅　福光",専門店,専門店,食べていない,食べていない,満足,大いに満足,満足,満足,大いに満足,ゆっくり過ごせた,とくに無し,がすエビ,,8,機会があれば行きたい,,砺波市
2026/4/6,東京都,男性,30代,公務員,2:300～500万円,友人・知人,1泊,富山県以外には宿泊しない,1泊,南砺市,,,,,,,,"新幹線, 在来線",レンタカー,満足,１０回目以上,"温泉や露天風呂, 地元の美味しいものを食べる, 趣味を満喫、推し活（好きなアイドル・アニメなどを）応援する",X（旧Twitter）,口コミ（友人・恋人）,ない,,,"10,000円以上20,000円未満","5,000円以上10,000円未満","10,000円以上20,000円未満",使わない,"10,000円以上20,000円未満","富岩運河環水公園, 閑乗寺公園",回転寿司店（地元）,回転寿司店（地元）,"ブリ, シロエビ, ホタルイカ","ブリ, シロエビ, ホタルイカ",大いに満足,大いに満足,満足,大いに満足,大いに満足,,,,,10,来年もまた行きたい,,南砺市
2026/4/6,福井県,男性,60代,無職,2:300～500万円,夫婦,2泊,長野県,1泊,富山市,,,,,,,,自家用車,自家用車,公共交通を利用していない,８回目,"地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞",Googleマップ（施設の口コミ・写真・営業時間など）,口コミ（家族）,ない,,,使わない,"10,000円以上20,000円未満","5,000円以上10,000円未満","5,000円以上10,000円未満",使わない,"あさひ舟川「春の四重奏」, ますのすし本舗 源 ますのすしミュージアム",食べていない,専門店,"ブリ, シロエビ, ホタルイカ",シロエビ,満足,満足,普通,満足,満足,天気がそこそこ,,寿司＆酒,朝日町四重奏,8,機会があれば行きたい,,富山市
2026/4/6,愛知県,男性,60代,会社員,4:1000～2000万円,夫婦,1泊,富山県以外には宿泊しない,1泊,富山市,,,,,,,,自家用車,自家用車,普通,５回目,友人・親戚を訪ねる,宿泊予約Webサイト,インターネット,ない,,,"5,000円以上10,000円未満","5,000円以上10,000円未満","5,000円以上10,000円未満",使わない,使わない,観光地・観光施設には訪問していない,食べていない,食べていない,食べていない,食べていない,満足,普通,普通,普通,普通,,,,,10,来年もまた行きたい,,富山市
2026/4/7,福島県,その他,10歳未満,自由業,2:300～500万円,夫婦,日帰り,,,,,,,,,,,レンタカー,タクシー,満足,３回目,買い物（アウトレットなど）,YOUTUBE,観光展・物産展,ない,,,"1,000円未満","1,000円未満",使わない,"1,000円未満","1,000円以上3,000円未満",岩瀬エリア,専門店,居酒屋・レストラン（地元）,ウマヅラハギ,ホタルイカ,不満,普通,普通,普通,普通,,,,,3,機会があれば行きたい,,朝日町
